;aantal
Aa en Hunze;3.2575211046563135
Aalburg;1.613572793661642
Aalsmeer;3.843009201250459
Aalten;3.455847919909886
Achtkarspelen;3.5553277391755578
Alblasserdam;2.4638341496753617
Albrandswaard;3.1644960828239106
Alkmaar;11.931123514447355
Almelo;9.20846464416347
Almere;24.447608560833302
Alphen aan den Rijn;9.220614851096682
Alphen-Chaam;1.2055283441546114
Ameland;0.44626697548442623
Amersfoort;18.76321018592348
Amstelveen;10.55080938097227
Amsterdam;100.0
Apeldoorn;19.865714900456897
Appingedam;1.5254837933958563
Arnhem;18.89243269924441
Assen;8.506157370492716
Asten;2.0761666097125717
Baarle-Nassau;0.8507676146359368
Baarn;3.082102492058068
Barendrecht;5.955246737796003
Barneveld;6.77386692992115
Bedum;1.3299414005644783
Beek;2.082874536456949
Beemster;1.1035172317778537
Beesel;1.7392514966270518
Bellingwedde;1.1748996975104733
Bergambacht;1.2540026072319044
Bergeijk;2.293731252610396
Bergen;1.6815380136942957
Bergen;3.883256761716723
Bergen op Zoom;8.369720671805192
Berkelland;5.684145245598714
Bernheze;3.7718798648289478
Bernisse;1.5726924099176063
Best;3.631899355785903
Beuningen;3.218918884712255
Beverwijk;5.042842135905127
Het Bildt;1.3666451506752224
De Bilt;5.325714141068965
Binnenmaas;3.665565554163344
Bladel;2.478389085064105
Blaricum;1.1438913568996723
Bloemendaal;2.791510042905418
Boarnsterhim;2.4528230246421385
Bodegraven-Reeuwijk;4.155623900469554
Boekel;1.2614699219096075
Ten Boer;0.9463239295794256
Bonaire;0.3
Borger-Odoorn;3.2728354279783827
Borne;2.732024654794902
Borsele;2.869980129349078
Boskoop;1.9094809583475718
Boxmeer;3.5940565237751705
Boxtel;3.8328840288061157
Breda;22.326131804432293
Brielle;2.0341471440685472
Bronckhorst;4.738707268608168
Brummen;2.699244409006341
Brunssum;3.695561377529711
Bunnik;1.8289858374150434
Bunschoten;2.556606042196656
Buren;3.284226246978269
Bussum;4.124109301236537
Capelle aan den IJssel;8.368708154560757
Castricum;4.36318993557859
Coevorden;4.541266405943476
Cranendonck;2.5859690422852513
Cromstrijen;1.617496297983825
Cuijk;3.1195656301021377
Culemborg;3.4972345622761387
Dalfsen;3.4719216311652805
Dantumadiel;2.4381415245978406
Delft;12.488767386819557
Delfzijl;3.329283264355596
Deurne;4.019946589715356
Deventer;12.488387692852893
Diemen;3.1558896862462187
Dinkelland;3.299920264267001
Dirksland;1.0727620204781612
Doesburg;1.4678968751186543
Doetinchem;7.119515004239916
Dongen;3.190062143245877
Dongeradeel;3.073496095480376
Dordrecht;15.043728088494007
Drechterland;2.4426978521977953
Drimmelen;3.3747199756995863
Dronten;5.122071610282113
Druten;2.302590778499196
Duiven;3.23056283302325
Echt-Susteren;4.0709521459037346
Edam-Volendam;3.6324056144081203
Ede;13.765551632051233
Eemnes;1.1168065206110542
Eemsmond;2.0547771829238966
Eersel;2.29917353279923
Eijsden-Margraten;3.163357000923922
Eindhoven;27.493007302780626
Elburg;2.8370733189049626
Emmen;13.775043981217804
Enkhuizen;2.312083127665768
Enschede;20.00329068104441
Epe;4.115756033969953
Ermelo;3.3067547556669323
Etten-Leur;5.3217906367467815
Ferwerderadiel;1.11845186113326
Franekeradeel;2.5960942147295945
Gaasterlân-Sleat;1.2902000987204314
Geertruidenberg;2.7174697194061586
Geldermalsen;3.3329536393666706
Geldrop-Mierlo;4.894381794939945
Gemert-Bakel;3.675564161952133
Gennep;2.198048373011353
Giessenlanden;1.836200022781638
Gilze en Rijen;3.2386629709787242
Goedereede;1.4403057802078192
Goes;4.672893647719937
Goirle;2.8863069699155814
Gorinchem;4.440267810811153
Gouda;9.015833238409842
Graafstroom;1.2397008011542696
Graft-De Rijp;0.8145701231474098
Grave;1.6199010264393565
s-Gravenhage;63.54241814430902
Groesbeek;2.3900469554872106
Groningen;24.443052233233345
Grootegast;1.5535811469289087
Gulpen-Wittem;1.8325296477705635
Haaksbergen;3.0905823239802053
Haaren;1.7239371733049829
Haarlem;19.214792876941186
Haarlemmerliede en Spaarnwoude;0.6928149245041829
Haarlemmermeer;18.21809621445115
Halderberge;3.7115085241295516
Hardenberg;7.521737479591449
Harderwijk;5.749705737175836
Hardinxveld-Giessendam;2.234372429155434
Haren;2.3360038475655287
Harenkarspel;2.0495880320461706
Harlingen;2.0052904026021694
Hattem;1.4940957588183923
Heemskerk;4.969940894305856
Heemstede;3.3213096910556756
Heerde;2.309045575932465
Heerenveen;5.507334421789371
Heerhugowaard;6.642492817455797
Heerlen;11.26627937882067
Heeze-Leende;1.9430205920694585
Heiloo;2.8666894483046663
Den Helder;7.222412069205554
Hellendoorn;4.530508410221361
Hellevoetsluis;4.991963144372303
Helmond;11.239067977876498
Hendrik-Ido-Ambacht;3.57633747199757
Hengelo;10.24401665590867
s-Hertogenbosch;17.95863867056486
Heumen;2.07730569161256
Heusden;5.456455430256546
Hillegom;2.636468339851413
Hilvarenbeek;1.9044183721254002
Hilversum;10.825960942147296
Hof van Twente;4.505575173077166
Hollands Kroon;6.037513763906292
Hoogeveen;6.947007378719419
Hoogezand-Sappemeer;4.401665590867094
Hoorn;9.018237966865373
Horst aan de Maas;5.30521066686917
Houten;6.114211945172191
Huizen;5.261798990014048
Hulst;3.4972345622761387
IJsselstein;4.337497310501069
Kaag en Braassem;3.2573945400007593
Kampen;6.417460859880269
Kapelle;1.5691485995620862
Katwijk;7.907253420409816
Kerkrade;5.983976914606827
Koggenland;2.8280872283606078
Kollumerland en Nieuwkruisland;1.6334434445836654
Korendijk;1.3670248446418853
Krimpen aan den IJssel;3.631393097163686
Laarbeek;2.734809077217096
Landerd;1.9068231005809317
Landgraaf;4.817936742985154
Landsmeer;1.3079191504980319
Langedijk;3.416106618065839
Lansingerland;6.994595689207832
Laren;1.4377744870967333
Leek;2.4638341496753617
Leerdam;2.6153320423738466
Leeuwarden;12.064269532090469
Leeuwarderadeel;1.3076660211869233
Leiden;15.029299717760818
Leiderdorp;3.3800356912328664
Leidschendam-Voorburg;9.16391388540836
Lelystad;9.531837339104682
Lemsterland;1.7167229879383883
Leudal;4.614800470820518
Leusden;3.6583513687967497
Liesveld;1.2386882839098352
Lingewaal;1.3789219222639886
Lingewaard;5.792864284719849
Lisse;2.84909696118262
Littenseradiel;1.3827188619306172
Lochem;4.209920137702345
Loon op Zand;2.9199731682930223
Lopik;1.778233410537773
Loppersum;1.311969219475769
Losser;2.869600435382415
Maasdonk;1.42499145688575
Maasdriel;3.0403361557251523
Maasgouw;3.0495753755806154
Maassluis;4.030957714748579
Maastricht;15.320651554846792
De Marne;1.319816228120135
Marum;1.317917758286821
Medemblik;5.457088253534318
Meerssen;2.459151257419853
Menameradiel;1.7431750009492348
Menterwolde;1.5640860133399146
Meppel;4.122590525369885
Middelburg;6.04574046651732
Middelharnis;2.2843654680993786
Midden-Delfland;2.3066408474769333
Midden-Drenthe;4.247256711090861
Mill en Sint Hubert;1.3828454265861716
Millingen aan de Rijn;0.7471111617369733
Moerdijk;4.622394350153776
Montferland;4.435205224588981
Montfoort;1.721405880193897
Mook en Middelaar;0.9965700978344787
Muiden;0.8183670628140385
Naarden;2.1722291832782776
Neder-Betuwe;2.862133120704712
Nederlek;1.7708926605156243
Nederweert;2.122615838300996
Neerijnen;1.5099163407626786
Nieuwegein;7.685005885256483
Nieuwkoop;3.413955018921416
Nieuw-Lekkerland;1.20489552087684
Nijkerk;5.078533368771437
Nijmegen;20.906202933768714
Noord-Beveland;0.9520193390793686
Noordenveld;3.917808912683044
Noordoostpolder;5.865259267696903
Noordwijk;3.2295503157788157
Noordwijkerhout;1.9804837301135285
Nuenen, Gerwen en Nederwetten;2.853779853438129
Nunspeet;3.3677589196441002
Nuth;1.9799774714913112
Oegstgeest;2.8841553707711585
Oirschot;2.260571312855172
Oisterwijk;3.2622039969118224
Oldambt;4.948045208894964
Oldebroek;2.8750427155712495
Oldenzaal;4.072344357114832
Olst-Wijhe;2.2350052524332056
Ommen;2.1996937135335584
Onderbanken;1.0082140461454734
Oost Gelre;3.7975724899064685
Oosterhout;6.835250787864981
Oostflakkee;1.317158370353495
Ooststellingwerf;3.2727088633228285
Oostzaan;1.1513586715773754
Opmeer;1.4419511207300248
Opsterland;3.790864563162091
Oss;10.712305881459542
Oud-Beijerland;2.963511409803698
Oude IJsselstreek;5.042209312627356
Ouder-Amstel;1.674703522294364
Ouderkerk;1.0187189125564795
Oudewater;1.2466618572097556
Overbetuwe;5.856020047841439
Papendrecht;4.054119046715014
Peel en Maas;5.476579210489678
Pekela;1.6286339876726026
Pijnacker-Nootdorp;6.341268937236587
Purmerend;10.032273987166343
Putten;3.019832681525357
Raalte;4.632646087253673
Reimerswaal;2.746959284150308
Renkum;4.003240055182189
Renswoude;0.6102947690827859
Reusel-De Mierden;1.6015491513839846
Rheden;5.519737758033691
Rhenen;2.412828593486983
Ridderkerk;5.721734948298338
Rijnwaarden;1.3932237283416233
Rijnwoude;2.3563807571097692
Rijssen-Holten;4.753895027274683
Rijswijk;5.947273164496083
Roerdalen;2.6695017149510827
Roermond;7.108503879206692
De Ronde Venen;5.439369201756717
Roosendaal;9.79939502094645
Rotterdam;77.9967346318867
Rozendaal;0.19161888850919492
Rucphen;2.8249231119717506
Saba;0.1
Schagen;2.36081052005417
Schermer;0.6905367607042058
Scherpenzeel;1.1838857880548277
Schiedam;9.64979559808128
Schiermonnikoog;0.11795825897659819
Schijndel;2.9130121122375363
Schinnen;1.6709065826277354
Schoonhoven;1.4952348407183809
Schouwen-Duiveland;4.322309551834555
Simpelveld;1.38132665071952
Sint Anthonis;1.4938426295072837
Sint Eustatius;0.5
Sint-Michielsgestel;3.5600106314310667
Sint-Oedenrode;2.2667729809773323
Sittard-Geleen;11.964789712824796
Skarsterlân;3.4830593208540583
Sliedrecht;3.066914733391553
Slochteren;1.966308488691448
Sluis;3.0238827505030943
Smallingerland;7.018769538418701
Soest;5.772867069142271
Someren;2.3515713001987066
Son en Breugel;2.0025059801799747
Spijkenisse;9.134297756008657
Stadskanaal;4.176380503980458
Staphorst;2.0533849717127994
Stede Broec;2.7170900254394956
Steenbergen;2.9557909658148867
Steenwijkerland;5.49315918036729
Stein;3.24296616926757
Stichtse Vecht;8.013441166419865
Strijen;1.119844072344357
Súdwest-Fryslân;10.458543747073191
Terneuzen;6.928402374352938
Terschelling;0.6009289845717685
Texel;1.7298857121160345
Teylingen;4.51658629811039
Tholen;3.232461302856564
Tiel;5.255850451202997
Tilburg;26.272291199959497
Tubbergen;2.683930085684272
Twenterand;4.294212198301502
Tynaarlo;4.095252559770159
Tytsjerksteradiel;4.07082558124818
Ubbergen;1.1880624216881193
Uden;5.1644707698928
Uitgeest;1.6323043626836768
Uithoorn;3.5826657047752843
Urk;2.3984002227537937
Utrecht;40.02923643543304
Utrechtse Heuvelrug;6.108896229638911
Vaals;1.2338788269987724
Valkenburg aan de Geul;2.1446380883674423
Valkenswaard;3.881231727227854
Veendam;3.5336851830757743
Veenendaal;7.957119894698207
Veere;2.779233271316652
Veghel;4.752882510030249
Veldhoven;5.553657085722241
Velsen;8.516029413625951
Venlo;12.659882801128957
Venray;5.43709103795674
Vianen;2.4895267747528824
Vlaardingen;8.991406259887864
Vlagtwedde;2.0579412993127537
Vlieland;0.13985394438749035
Vlissingen;5.632380301477009
Vlist;1.2369163787320752
Voerendaal;1.6028147979395273
Voorschoten;3.0767867765247874
Voorst;3.0019870650922025
Vught;3.2639759020895824
Waalre;2.088696510612446
Waalwijk;5.875384440141246
Waddinxveen;3.1995544924124486
Wageningen;4.689093923630887
Wassenaar;3.2605586563896165
Waterland;2.1528647909784713
Weert;6.159648656516181
Weesp;2.2809482223994126
Werkendam;3.344217893711002
West Maas en Waal;2.3192973130323624
Westerveld;2.4297882573312575
Westervoort;1.9356798420473098
Westland;12.907063573426484
Weststellingwerf;3.2628368201895936
Westvoorne;1.759375276860184
Wierden;3.015276353925403
Wijchen;5.1554846793484455
Wijdemeren;2.948576780448292
Wijk bij Duurstede;2.9190872157041423
Winsum;1.7702598372378529
Winterswijk;3.6635405196744757
Woensdrecht;2.743288909139234
Woerden;6.334814139803318
De Wolden;3.006290263381048
Wormerland;1.997316829302249
Woudenberg;1.5230790649403247
Woudrichem;1.8245560744706433
Zaanstad;18.76713369024566
Zaltbommel;3.388642087810558
Zandvoort;2.1074280796344813
Zederik;1.7002695827163306
Zeevang;0.8029261748364152
Zeewolde;2.6943083874397233
Zeist;7.749933553555834
Zevenaar;4.104365214970067
Zijpe;1.4667577932186657
Zoetermeer;15.48278087861184
Zoeterwoude;1.0341598005341028
Zuidhorn;2.36435433040969
Zuidplas;5.147764235359634
Zundert;2.685828555517586
Zutphen;5.966764121451443
Zwartewaterland;2.790497525660984
Zwijndrecht;5.632000607510347
Zwolle;15.38102289554619
